Name	Population	Land Area	Water Area	Total Area	Lat	Long
Cuscatlán_SV	2	2	2	2	13.838	-89.031
La_Libertad_SV	2	2	2	2	13.775	-89.359
La_Paz_SV	2	2	2	2	13.484	-88.959
Sonsonate_SV	2	2	2	2	13.703	-89.693
San_Salvador_SV	2	2	2	2	13.731	-89.161
La_Unión_SV	2	2	2	2	13.542	-87.88
Morazán_SV	2	2	2	2	13.775	-88.098
San_Miguel_SV	2	2	2	2	13.522	-88.234
San_Vicente_SV	2	2	2	2	13.526	-88.752
Usulután_SV	2	2	2	2	13.376	-88.52
Chalatenango_SV	2	2	2	2	14.173	-89.076
Santa_Ana_SV	2	2	2	2	14.09	-89.511
Eastern_Tobago_TT	2	2	2	2	11.3	-60.533333
Western_Tobago_TT	2	2	2	2	11.183333	-60.7375
Siparia_TT	2	2	2	2	10.133333	-61.5
Sangre_Grande_TT	2	2	2	2	10.566667	-61.133333
Rio_Claro-Mayaro_TT	2	2	2	2	10.304167	-61.170833
Princes_Town_TT	2	2	2	2	10.266667	-61.383333
Couva-Tabaquite-Talparo_TT	2	2	2	2	10.416667	-61.45
Penal-Debe_TT	2	2	2	2	10.166667	-61.466667
Chaguanas_TT	2	2	2	2	10.5	-61.383333
Port_of_Spain_TT	2	2	2	2	10.666667	-61.516667
Pennsylvania_US	2	2	2	2	41	-77.5
Massachusetts_US	2	2	2	2	42.3	-71.8
Montana_US	2	2	2	2	47	-110
North_Dakota_US	2	2	2	2	47	-100
Hawaii_US	2	2	2	2	21.311389	-157.796389
Idaho_US	2	2	2	2	45	-114
Washington_US	2	2	2	2	47.5	-120.5
Arizona_US	2	2	2	2	34	-112
California_US	2	2	2	2	37	-120
Colorado_US	2	2	2	2	39	-105.5
Nevada_US	2	2	2	2	39	-117
New_Mexico_US	2	2	2	2	34	-106
Oregon_US	2	2	2	2	44	-120.5
Utah_US	2	2	2	2	39	-111
Wyoming_US	2	2	2	2	43	-107.5
Arkansas_US	2	2	2	2	34.8	-92.2
Iowa_US	2	2	2	2	42	-93
Kansas_US	2	2	2	2	38.5	-98
