Name	Pop	DUMMY	DUMMY	Area	Lat	Long
Rural City of Wangaratta_VI	28310	2	2	3764	-36.355833	146.325833
City of Wodonga_VI	39351	2	2	433	-36.116667	146.883333
Bass Coast Shire_VI	32804	2	2	859	-38.533333	145.533333
Shire of Baw Baw_VI	48479	2	2	4031	-37.95	146.116667
Shire of East Gippsland_VI	45040	2	2	20931	-37.483333	148.166667
City of Latrobe_VI	73257	2	2	1422	-38.233333	146.4
South Gippsland Shire_VI	28703	2	2	3305	-38.583333	146
Shire of Wellington_VI	42983	2	2	10989	-37.883333	146.983333
Rural City of Ararat_VI	11600	2	2	4230	-37.283333	142.916667
Corangamite Shire_VI	16051	2	2	4404	-38.233333	143.15
Shire of Glenelg_VI	19557	2	2	6213	-38	141.666667
Shire of Moyne_VI	16495	2	2	5478	-38.366667	142.233333
Pyrenees Shire_VI	7238	2	2	3433	-37.166667	143.416667
Shire of Southern Grampians_VI	15944	2	2	6652	-37.516667	142.033333
City of Warrnambool_VI	33655	2	2	120	-38.466667	142.466667
Shire of Hindmarsh_VI	5721	2	2	7527	-36.133333	141.65
Rural City of Horsham_VI	19642	2	2	4239	-36.833333	142.083333
Shire of Northern Grampians_VI	11439	2	2	5918	-36.65	143.016667
Shire of West Wimmera_VI	3903	2	2	9107	-36.716667	141.466667
Shire of Yarriambiack_VI	6674	2	2	7310	-36.25	142.416667
Shire of Buloke_VI	5952	2	2	8004	-36	142.987778
Shire of Gannawarra_VI	10549	2	2	3732	-35.716667	143.916667
Rural City of Mildura_VI	53878	2	2	22214	-34.388889	141.6
Rural City of Swan Hill_VI	20584	2	2	6103	-35.05	142.916667
City of Brisbane_QL	1206607	2	2	1367	-27.47	153.12
Shire of Noosa_QL	54736	2	2	868.7	-26.388611	153.034806
City of Gold Coast_QL	592330	2	2	1358	-28.001111	153.428333
City of Ipswich_QL	206467	2	2	1089	-27.611214	152.761653
Lockyer Valley Region_QL	40189	2	2	2273	-27.558833	152.278167
Logan City_QL	319652	2	2	913	-27.639167	153.109444
Moreton Bay Region_QL	448118	2	2	2011	-27.293333	152.93
Redland City_QL	154312	2	2	537	-27.593294	153.266419
Scenic Rim Region_QL	41735	2	2	4256	-27.9875	152.995278
Somerset Region_QL	25545	2	2	5379	-27.239167	152.417778
Sunshine Coast Region_QL	311551	2	2	2251	-26.804261	153.124478
Shire of Banana_QL	14521	2	2	28577	-24.397778	150.511111
Bundaberg Region_QL	94858	2	2	6451	-24.832681	152.459914
Aboriginal Shire of Cherbourg_QL	1314	2	2	32	-26.292	151.9543
Fraser Coast Region_QL	103998	2	2	7125	-25.29125	152.830917
Gympie Region_QL	51013	2	2	6898	-26.189722	152.664722
North Burnett Region_QL	10632	2	2	19708	-25.625	151.605556
South Burnett Region_QL	32707	2	2	8399	-26.540444	151.838972
Goondiwindi Region_QL	10785	2	2	19294	-28.547139	150.30715
Southern Downs Region_QL	35542	2	2	7120	-28.218236	152.011875
Toowoomba Region_QL	166409	2	2	12973	-27.575167	151.946875
Western Downs Region_QL	34575	2	2	38039	-27.184167	151.264444
Central Highlands Region_QL	28684	2	2	59884	-23.522222	148.161667
Gladstone Region_QL	63052	2	2	10488	-23.85	151.25
Isaac Region_QL	21199	2	2	58862	-22.816667	148.698889
Mackay Region_QL	117064	2	2	7621	-21.141111	149.185556
Rockhampton Region_QL	81446	2	2	18361	-23.374992	150.511672
Shire of Livingstone_QL	37393	2	2	11776	-23.128972	150.744861
Aboriginal Shire of Woorabinda_QL	994	2	2	391	-24.116667	149.45
Shire of Burdekin_QL	17215	2	2	5052	-19.575825	147.405058
Charters Towers Region_QL	11949	2	2	68388	-20.1	146.266667
Shire of  Hinchinbrook_QL	10900	2	2	2811	-18.65	146.166667
Aboriginal Shire of  Palm Island_QL	2634	2	2	71	-18.736667	146.581389
City of  Townsville_QL	193601	2	2	3733	-19.257639	146.817903
Whitsunday Region_QL	34831	2	2	23856	-20.012222	148.223056
Shire of Aurukun_QL	1343	2	2	7375	-13.358333	141.728056
Cairns Region_QL	164536	2	2	4128	-16.923333	145.773889
Shire of Mareeba_QL	22311	2	2	53610	-16.98	145.02
Cassowary Coast Region_QL	29680	2	2	4701	-18.094664	145.851439
Shire of Cook_QL	4461	2	2	106188	-15.468167	145.250556
Aboriginal Shire of Hope Vale_QL	990	2	2	1118	-15.296111	145.111667
Aboriginal Shire of Kowanyama_QL	1142	2	2	2576	-15.4796	141.742
Aboriginal Shire of Lockhart River_QL	984	2	2	3545	-13.0188	143.2394
Aboriginal Shire of Mapoon_QL	326	2	2	530	-11.35	142.333333
Aboriginal Shire of Napranum_QL	1028	2	2	1995	-12.6837	141.8879
Northern Peninsula Area Region_QL	3008	2	2	1030	-10.887778	142.387778
Aboriginal Shire of Pormpuraaw_QL	807	2	2	4433	-14.898133	141.619467
Tablelands Region_QL	25425	2	2	64999	-16.996667	145.399722
Shire of Douglas_QL	12186	2	2	2436	-16.460278	145.373333
Shire of Torres_QL	3798	2	2	886	-10.583333	142.2
Torres Strait Island Region_QL	4871	2	2	489	-9.866667	142.583333
Weipa Town_QL	4133	2	2	10.9	-12.6298	141.8781
Aboriginal Shire of Wujal Wujal_QL	300	2	2	11	-13.0188	143.2394
Aboriginal Shire of Yarrabah_QL	2801	2	2	158	-16.920556	145.8725
Shire of Burke_QL	347	2	2	40126	-17.736111	139.548889
Shire of Carpentaria_QL	2004	2	2	64373	-17.671203	141.076111
Shire of Cloncurry_QL	3123	2	2	48113	-20.704444	140.505556
Shire of Croydon_QL	294	2	2	29578	-18.202778	142.244167
Aboriginal Shire of Doomadgee_QL	1492	2	2	1862	-17.932778	138.819167
Shire of Etheridge_QL	821	2	2	39332	-18.290833	143.547778
Shire of Flinders_QL	1521	2	2	41538	-20.842778	144.200556
Shire of Mckinlay_QL	790	2	2	40880	-20.656667	141.745556
Shire of Mornington_QL	1203	2	2	1232	-20.724722	139.493611
City of Mount Isa_QL	18899	2	2	43349	-20.724722	139.493611
Shire of Richmond_QL	794	2	2	26602	-20.716667	143.133333
Barcaldine Region_QL	2853	2	2	53677	-23.566667	145.283333
Shire of Barcoo_QL	272	2	2	62001	-25.287778	141.971667
Blackall_Tambo Region_QL	1889	2	2	30451	-24.653889	145.813611
Shire of Boulia_QL	431	2	2	61102	-22.9	139.9
Shire of Diamantina_QL	288	2	2	94823	-24.325556	139.4525
Longreach Region_QL	3598	2	2	40638	-23.4422	144.2491
